country_iso,country,WASTE_ID,catchment_id,WWTP_NAME,urban_zone_id,urban_zone_type,LAT_WWTP_deg,LON_WWTP_deg,POP_SERVED_people,WASTE_DIS_m3_day,per_capita_l_day,per_capita_water_L_person_day,building_count,positive_flow_building_count,zero_flow_building_count,assigned_population_people,ratio,average_assigned_population_per_building,sum_Lb_m,sum_Qb_m3_day,sum_Lb_over_Qb_day_per_m2,average_Lb_m,average_Qb_m3_day,max_Lb_m,min_positive_Qb_m3_day,catchment_status,schema_version,method_version
ARG,Argentina,53256,53256,,DUC:DUC_28704,dense_urban_cluster,-37.832,-58.25,33323,1298.885,38.978633376346664,38.978633376346664,38273,38273,0,36607.93663684828,1.0985786584895803,0.9564950914965715,87046104.57922181,1426.9273408322347,6088783071.553808,2274.347570852084,0.03728287149771992,5890.892603039269,0.0010096075458591194,assigned,1.0,ghsl2025-capacitated-building-v1
ARG,Argentina,53261,53261,,UC:4717_2025,urban_centre,-37.301,-59.135,112103,4369.582,38.97827890422201,38.97827890422201,103115,103115,0,122831.35954786865,1.0957009138726765,1.1912074824018684,269450399.1890468,4787.754990641656,15003544613.967846,2613.1057478450934,0.046431217481856725,6110.3798616208305,0.0010011068737595399,assigned,1.0,ghsl2025-capacitated-building-v1
ARG,Argentina,53264,53264,,DUC:DUC_25404,dense_urban_cluster,-37.233,-61.249,6668,259.92,38.98020395920816,38.98020395920816,7516,7516,0,7320.297298268064,1.0978250297342627,0.9739618544795189,15363759.727521185,285.34668172853026,941547139.0198072,2044.1404640129304,0.037965231736100356,3529.9300900462017,0.0011236953102797126,assigned,1.0,ghsl2025-capacitated-building-v1
ARG,Argentina,53269,53269,,DUC:DUC_28879,dense_urban_cluster,-36.987,-57.129,13770,536.735,38.97857661583152,38.97857661583152,12721,12721,0,14453.99103028149,1.0496725512186993,1.1362307232357118,21033908.796581015,563.395996778369,1350587429.947594,1653.4791916186632,0.044288656298904876,3498.716546222428,0.0010435602586985353,assigned,1.0,ghsl2025-capacitated-building-v1
ARG,Argentina,53270,53270,,UC:4269_2025,urban_centre,-36.869,-60.29,83986,3273.623,38.97819874741028,38.97819874741028,78290,78290,0,87919.47782183041,1.0468349227470104,1.1229975453037477,334623078.7796273,3426.942880307864,19589431840.58769,4274.148406943765,0.04377242151370372,8351.362345121515,0.0010362614999977408,assigned,1.0,ghsl2025-capacitated-building-v1
ARG,Argentina,53273,53273,,DUC:DUC_28984,dense_urban_cluster,-36.365,-56.732,12655,493.287,38.979612801264324,38.979612801264324,16815,16815,0,13253.945777856128,1.0473287852908832,0.7882215746569211,24133089.24340363,516.6336745097819,1876033491.4647324,1435.2119680882324,0.030724571781729524,2608.7037423998963,0.0010189464894978207,assigned,1.0,ghsl2025-capacitated-building-v1
ARG,Argentina,53274,53274,,DUC:DUC_27331,dense_urban_cluster,-36.029,-59.08,20879,813.83,38.97839934862781,38.97839934862781,25224,25224,0,22501.70614535911,1.077719533759237,0.8920752515603834,59439898.86321049,877.0804881592784,3981759417.4926233,2356.4818769112944,0.03477166540434817,4685.447113690021,0.0010123052923984748,assigned,1.0,ghsl2025-capacitated-building-v1
ARG,Argentina,53275,53275,,DUC:DUC_20925,dense_urban_cluster,-35.968,-62.707,32384,1262.28,38.97850790513834,38.97850790513834,35906,35906,0,31583.745743416264,0.9752885913851366,0.8796230642069922,95805884.37119241,1231.0872831336328,7689574452.421369,2668.2416412630873,0.03428639456173433,5837.914390286089,0.001000121277958971,assigned,1.0,ghsl2025-capacitated-building-v1
ARG,Argentina,53277,53277,,DUC:DUC_23261,dense_urban_cluster,-35.801,-61.904,25025,975.436,38.97846153846154,38.97846153846154,34008,34008,0,27153.93045720125,1.0850721461419082,0.798457141178583,59802386.79344516,1058.4184339440797,4920285278.950986,1758.4799692262163,0.03112263096753939,4166.686531020468,0.0010032407581742806,assigned,1.0,ghsl2025-capacitated-building-v1
ARG,Argentina,53279,53279,,DUC:DUC_28388,dense_urban_cluster,-35.58,-58.002,7554,294.452,38.97961344982791,38.97961344982791,8995,8995,0,10158.008215874654,1.344719117801781,1.1292949656336468,10772252.846440386,395.95523367496827,735957485.7897799,1197.5823064413992,0.04401948123123605,3152.1078189811187,0.001009594985957419,assigned,1.0,ghsl2025-capacitated-building-v1
ARG,Argentina,53280,53280,,DUC:DUC_28388,dense_urban_cluster,-35.559,-58.013,15793,615.597,38.97910466662445,38.97910466662445,20124,20124,0,21236.826331393666,1.3446986849486269,1.0552984660799873,26115421.574219026,827.792476358318,1657207981.783833,1297.7251825789617,0.04113458936385997,3232.2434930745853,0.0010566435855649378,assigned,1.0,ghsl2025-capacitated-building-v1
ARG,Argentina,53284,53284,,DUC:DUC_27872,dense_urban_cluster,-35.166,-58.247,21965,856.145,38.97769178238106,38.97769178238106,19240,19240,0,18339.09389229642,0.8349234642520564,0.9531753582274647,28528526.072285227,714.8155493020776,2169356993.401737,1482.77162537865,0.037152575327550806,3786.706315072538,0.0010270662499260435,assigned,1.0,ghsl2025-capacitated-building-v1
ARG,Argentina,53285,53285,,DUC:DUC_24994,dense_urban_cluster,-35.095,-60.47,32455,1265.04,38.97827761515945,38.97827761515945,36083,36083,0,32554.299444541946,1.003059603898997,0.9022060096040225,115970095.54510985,1268.9105213163925,8822540267.224663,3213.9815299478937,0.03516643630841096,6122.897802836945,0.001003645617850824,assigned,1.0,ghsl2025-capacitated-building-v1
ARG,Argentina,53294,53294,,UC:4459_2025,urban_centre,-34.895,-58.543,222884,8687.619,38.978208395398504,38.978208395398504,178040,178040,0,268065.6077663974,1.2027135539850209,1.505648212572441,1283114343.6830523,10448.717123157818,49620351595.54295,7206.888023382679,0.05868746979980801,17242.720744773374,0.0010018370905797525,assigned,1.0,ghsl2025-capacitated-building-v1
ARG,Argentina,53296,53296,,UC:4607_2025,urban_centre,-34.865,-58.186,106844,4164.578,38.97811762944106,38.97811762944106,36443,36443,0,58718.822244608025,0.5495752896242,1.611251056296354,60584274.123477176,2288.74916051255,3008178205.268517,1662.4392647004138,0.06280353320287985,4190.407860600043,0.0010012445900244688,assigned,1.0,ghsl2025-capacitated-building-v1
ARG,Argentina,53298,53298,,UC:4459_2025,urban_centre,-34.844,-58.389,707601,27581.061,38.97826741341519,38.97826741341519,509286,509286,0,851048.1097880002,1.2027231586557965,1.6710612696755855,3519148302.005312,33172.38080499822,118892327429.2354,6909.964738880142,0.06513507303361611,14019.371656258125,0.0010026273287614344,assigned,1.0,ghsl2025-capacitated-building-v1
ARG,Argentina,53299,53299,,UC:4459_2025,urban_centre,-34.835,-58.222,561175,21873.641,38.97828841270548,38.97828841270548,383544,383544,0,674939.8113860289,1.2027260861336104,1.7597454565474335,2249792369.5822372,26307.998629421985,78068912678.85408,5865.799933207761,0.06859186593825477,12528.963455765774,0.0010105963082102398,assigned,1.0,ghsl2025-capacitated-building-v1
ARG,Argentina,53300,53300,,UC:4459_2025,urban_centre,-34.833,-58.425,197317,7691.083,38.97830901544216,38.97830901544216,134829,134829,0,237316.63654233317,1.202717639850257,1.7601305100707798,503248081.44397736,9250.2011936524,17419324084.787136,3732.491388677342,0.06860691092904642,9655.261516657038,0.0010127427800912228,assigned,1.0,ghsl2025-capacitated-building-v1
ARG,Argentina,53303,53303,,UC:4459_2025,urban_centre,-34.797,-58.459,417104,16257.985,38.978252426253405,38.978252426253405,284403,284403,0,501655.36983426125,1.2027105226376664,1.7638891637368848,1426914229.2051454,19553.649636385304,48580805726.41356,5017.2263626092035,0.06875331707606919,16971.624436690447,0.0010133600507517607,assigned,1.0,ghsl2025-capacitated-building-v1
