FEAT_NUM,Unnamed: 0,OID_,FR_PNT,TO_PNT,WIDTH,HEIGHT,SHAPE_DESC,US_IL,DS_IL,GEOMETRY_L,us_x,us_y,ds_x,ds_y,Assigned_Outfall,stay
FWD4035042,11639,11639,FMH4033042,FMH4067940,450,0,Circular,25.36,25.317142857142855,15,837540.268,822493.6759999999,837539.686,822478.258,SCISTW,True
FWD4032794,11640,11640,FMH4030984,FMH4030985,450,0,Circular,99.76,99.16,14,842378.686,819696.471,842385.324,819684.4279999998,SCISTW,True
FWD4032795,11641,11641,FMH4030985,FMH4030986,450,0,Circular,99.16,98.57,13,842385.685,819683.7709999998,842392.0239999999,819672.228,SCISTW,True
FWD4032797,11642,11642,FMH4030987,FMH4030988,450,0,Circular,98.21,97.56,12,842396.52,819664.893,842403.189,819655.408,SCISTW,True
FWD4032798,11643,11643,FMH4030988,FMH4030989,450,0,Circular,97.42,96.78,10,842403.652,819654.819,842410.257,819647.283,SCISTW,True
FWD4032800,11644,11644,FMH4030990,FMH4030991,450,0,Circular,96.1,95.64,10,842418.202,819640.8739999998,842426.1069999998,819634.829,SCISTW,True
FWD4032801,11645,11645,FMH4030991,FMH4030992,450,0,Circular,95.64,95.08,7,842426.684,819634.3519999998,842431.7249999999,819629.8499999999,SCISTW,True
FWD4036817,11646,11646,FMH4034596,FMH4034597,300,0,Circular,3.75,3.6,33,842593.735,817038.6609999998,842570.5409999999,817062.7319999998,SCISTW,True
FWD4031315,11647,11647,FMH4029562,FMH4029564,225,0,Circular,3.45,1.8633959192362617,6,837659.6409999998,820568.883,837654.353,820567.121,SCISTW,True
FWD4031318,11648,11648,FMH4029567,FMH4029569,225,0,Circular,4.5999999,3.23,31,837746.638,820522.118,837718.407,820534.88,SCISTW,True
FWD4031319,11649,11649,FMH4029569,FMH4029568,225,0,Circular,3.23,1.7833959192362618,18,837717.908,820534.694,837710.4479999999,820518.506,SCISTW,True
FWD4036801,11652,11652,FMH4034580,FMH4034570,150,0,Circular,3.04,2.02,22,842231.3619999998,817106.086,842252.54,817110.8989999999,SCISTW,True
FWD4036803,11653,11653,FMH4034581,FMH4034582,525,0,Circular,3.01,2.961119455898168,8,842513.211,817041.8499,842507.159,817035.935,SCISTW,True
FWD4036807,11654,11654,FMH4034586,FMH4034587,225,0,Circular,1.81,1.78,6,842643.235,816948.292,842647.055,816952.915,SCISTW,True
FWD4036809,11655,11655,FMH4034588,FMH4034589,225,0,Circular,1.53,1.07,40,842656.7099999998,816989.5359999998,842665.9109999998,817028.638,SCISTW,True
FWD4036810,11656,11656,FMH4034589,FMH4034590,225,0,Circular,1.07,0.75,34,842666.003,817029.378,842666.495,817063.1019999998,SCISTW,True
FWD4036742,11657,11657,FMH4034520,FGJ4001820,225,0,Circular,1.2566040807637382,1.2508897950494524,2,842143.417,817341.109,842142.2419999999,817343.1829999998,SCISTW,True
FWD4036814,11658,11658,FMH4034593,FMH4034594,300,0,Circular,3.89,3.88,2,842614.652,817028.3469999998,842612.435,817029.3149999998,SCISTW,True
FWD4033277,11659,11659,FMH4031480,FMH4031481,675,0,Circular,2.29,2.11,61,841665.773,819188.701,841629.2219999998,819139.3079999998,SCISTW,True
FWD4033279,11660,11660,FMH4031482,FMH4031483,675,0,Circular,1.8537469379065954,2.0,16,841611.779,819114.697,841602.2169999998,819101.311,SCISTW,True
FWD4033280,11661,11661,FMH4031483,FMH4031484,600,0,Circular,1.8266040807637383,2.323395919236262,6,841601.6779999998,819101.214,841596.317,819104.789,SCISTW,True
FWD4033285,11662,11662,FMH4031488,FMH4031489,1500,0,Circular,1.89,1.84,78,841582.794,819068.691,841539.207,819004.3129999998,SCISTW,True
FWD4033286,11663,11663,FMH4031489,FMH4031490,1500,0,Circular,1.84,1.81,34,841538.784,819003.694,841519.209,818975.311,SCISTW,True
FWD4123214,11664,11664,FMH4098776,FMH4002585,150,0,Circular,12.387106938717583,12.38,1,835811.0882999998,818372.9006,835811.175,818371.8079999998,SCISTW,True
FWD4010797,11665,11665,FMH4009003,FMH4009004,150,0,Circular,9.69,8.85,39,835918.262,818429.447,835915.0479999998,818468.5749999998,SCISTW,True
FWD4002446,11666,11666,FMH4002244,FMH4002246,150,0,Circular,10.291779590098907,10.38,4,835655.035,818296.437,835655.05,818300.501,SCISTW,True
FWD4002456,11667,11667,FMH4002254,FMH4002255,150,0,Circular,9.72,9.70857142857143,4,835652.86,818327.182,835653.072,818331.12,SCISTW,True
FWD4002466,11668,11668,FMH4002264,FMH4002266,225,0,Circular,10.04,9.34169795961813,45,835634.04,818259.0159999998,835630.7739999999,818303.826,SCISTW,True
FWD4013327,11669,11669,FMH4011217,FMH4011218,1350,0,Circular,-0.42,-0.23660408076373818,52,835301.75,820107.593,835291.985,820158.3939999999,SCISTW,True
FWD4013328,11670,11670,FMH4011218,FMH4011219,1350,0,Circular,-0.41,-0.53,33,835291.5459999999,820158.692,835259.1239999998,820152.481,SCISTW,True
FWD4013329,11671,11671,FMH4011219,FMH4011220,1400,0,Circular,-1.28,-1.27,15,835258.657,820152.772,835254.6389999999,820167.441,SCISTW,True
FWD4013331,11672,11672,FMH4011221,FMH4011222,1350,0,Circular,-1.3,-1.28,20,835214.761,820163.246,835195.142,820159.207,SCISTW,True
FWD4013381,11673,11673,FMH4011272,FMH4061553,225,0,Circular,3.580889795049452,3.77,0,835269.723,820374.974,835269.7149999999,820374.8959999998,SCISTW,True
FWD4013382,11674,11674,FMH4011273,FMH4061566,225,0,Circular,3.56,3.46,3,835277.278,820332.3249999998,835277.91,820329.454,SCISTW,True
FWD4013384,11675,11675,FMH4011275,FMH4011276,225,0,Circular,2.81,2.67,24,835259.3839999998,820303.779,835235.456,820299.324,SCISTW,True
FWD4013385,11676,11676,FMH4011276,FMH4081900,225,0,Circular,2.67,2.6185714285714283,18,835234.745,820299.101,835218.5557,820291.2001,SCISTW,True
FWD4013387,11677,11677,FMH4011278,FMH4041240,300,0,Circular,2.07,1.94,32,835208.4599999998,820289.165,835176.615,820283.26,SCISTW,True
FWD4013394,11678,11678,FMH4011284,FMH4011285,150,0,Circular,3.35,2.96,26,835180.3229999999,820164.0,835176.0359999998,820189.589,SCISTW,True
FWD4013397,11679,11679,FMH4011287,FMH4011288,150,0,Circular,2.56,2.42,25,835195.91,820220.6169999999,835220.172,820224.456,SCISTW,True
FWD4013399,11680,11680,FMH4011289,FMH4070189,150,0,Circular,3.14,3.0539149663484424,15,835184.4939999998,820275.375,835187.174,820260.582,SCISTW,True
FWD4002604,11681,11681,FMH4002400,FMH4002401,150,0,Circular,4.62,3.85623926857048,15,835581.848,818524.4499999998,835585.647,818539.3449999999,SCISTW,True
FWD4002605,11682,11682,FMH4002401,FMH4002402,150,0,Circular,3.682843349334218,2.97,14,835585.831,818540.0969999998,835589.033,818553.743,SCISTW,True
FWD4002612,11683,11683,FMH4002407,FMH4002423,150,0,Circular,3.82,2.65,7,835571.5699999998,818570.099,835568.9989999998,818563.817,SCISTW,True
FWD4002613,11684,11684,FMH4002408,FMH4096831,150,0,Circular,4.38,2.89,33,835555.282,818503.2049999998,835563.0666999999,818535.601,SCISTW,True
FWD4002615,11685,11685,FMH4016153,FMH4002410,150,0,Circular,4.07,3.77,13,835532.799,818607.304,835529.7219999998,818594.5309999998,SCISTW,True
FWD4002618,11686,11686,FMH4002412,FMH4067520,150,0,Circular,4.9000001,4.888571528571428,4,835511.2929999998,818518.081,835511.893,818522.484,SCISTW,True
FWD4000970,11687,11687,FMH4000877,FMH4000878,300,0,Circular,6.16,5.679377143465383,14,835924.8079999998,817944.2269999998,835928.3689999998,817930.7389999998,SCISTW,True
FWD4000972,11688,11688,FLH4006385,FMH4000881,150,0,Circular,22.2000008,19.18889998653938,4,835965.3079999998,817937.1929999999,835967.0022,817933.4046999998,SCISTW,True
FWD4000973,11689,11689,FMH4000880,FMH4099403,300,0,Circular,5.3,4.951505908235973,20,835930.6243999999,817923.6759999999,835949.7774999999,817928.5932999998,SCISTW,True
FWD4000975,11690,11690,FMH4000882,FMH4000883,150,0,Circular,3.96,3.73,10,835987.493,817936.508,835997.424,817939.1949999998,SCISTW,True
FWD4002619,11691,11691,FMH4002413,FMH4002414,150,0,Circular,5.47,3.97,13,835519.6979999999,818557.218,835522.804,818570.155,SCISTW,True
FWD4002622,11692,11692,FMH4002416,FMH4002417,225,0,Circular,3.96,3.54,28,835708.642,818553.214,835680.694,818549.736,SCISTW,True
FWD4002623,11693,11693,FMH4002417,FMH4002418,225,0,Circular,3.54,4.45,22,835679.925,818549.658,835658.011,818547.9499999998,SCISTW,True
FWD4002624,11694,11694,FMH4002418,FMH4002419,375,0,Circular,4.45,3.303395919236262,14,835657.24,818547.8909999998,835643.73,818546.837,SCISTW,True
FWD4002886,11695,11695,FMH4002661,FMH4002666,150,0,Circular,5.383159415817271,5.18,22,835751.464,818598.4259999999,835753.658,818576.5679999999,SCISTW,True
FWD4002887,11696,11696,FMH4002662,FMH4099761,150,0,Circular,6.27,6.133619652852461,17,835809.9329999998,818579.3939999999,835792.9303,818577.7652999999,SCISTW,True
FWD4002890,11697,11697,FMH4002666,FMH4002665,300,0,Circular,5.18,5.12,17,835753.322,818576.16,835736.525,818575.0999999999,SCISTW,True
